1,1,1,-1,-1
2,5,1,-1,-1
3,10,1,-1,-1
4,15,1,-1,-1
5,20,1,-1,-1
6,25,1,-1,-1
7,30,1,-1,-1
8,35,1,-1,-1
9,40,1,-1,-1
10,45,1,-1,-1
11,50,1,-1,-1
12,1,5,-1,-1
13,1,10,-1,-1
14,1,15,-1,-1
15,1,20,-1,-1
16,1,25,-1,-1
17,1,30,-1,-1
18,1,35,-1,-1
19,1,40,-1,-1
20,1,45,-1,-1
21,1,50,-1,-1
22,1,1,-5,-1
23,1,1,-10,-1
24,1,1,-15,-1
25,1,1,-20,-1
26,1,1,-25,-1
27,1,1,-30,-1
28,1,1,-35,-1
29,1,1,-40,-1
30,1,1,-45,-1
31,1,1,-50,-1
32,1,1,-1,-5
33,1,1,-1,-10
34,1,1,-1,-15
35,1,1,-1,-20
36,1,1,-1,-25
37,1,1,-1,-30
38,1,1,-1,-35
39,1,1,-1,-40
40,1,1,-1,-45
41,1,1,-1,-50
42,5,5,-1,-1
43,10,10,-1,-1
44,15,15,-1,-1
45,20,20,-1,-1
46,25,25,-1,-1
47,30,30,-1,-1
48,35,35,-1,-1
49,40,40,-1,-1
50,45,45,-1,-1
51,50,50,-1,-1
52,5,1,-5,-1
53,10,1,-10,-1
54,15,1,-15,-1
55,20,1,-20,-1
56,25,1,-25,-1
57,30,1,-30,-1
58,35,1,-35,-1
59,40,1,-40,-1
60,45,1,-45,-1
61,50,1,-50,-1
62,5,1,-1,-5
63,10,1,-1,-10
64,15,1,-1,-15
65,20,1,-1,-20
66,25,1,-1,-25
67,30,1,-1,-30
68,35,1,-1,-35
69,40,1,-1,-40
70,45,1,-1,-45
71,50,1,-1,-50
72,1,5,-5,-1
73,1,10,-10,-1
74,1,15,-15,-1
75,1,20,-20,-1
76,1,25,-25,-1
77,1,30,-30,-1
78,1,35,-35,-1
79,1,40,-40,-1
80,1,45,-45,-1
81,1,50,-50,-1
82,1,5,-1,-5
83,1,10,-1,-10
84,1,15,-1,-15
85,1,20,-1,-20
86,1,25,-1,-25
87,1,30,-1,-30
88,1,35,-1,-35
89,1,40,-1,-40
90,1,45,-1,-45
91,1,50,-1,-50
92,1,1,-5,-5
93,1,1,-10,-10
94,1,1,-15,-15
95,1,1,-20,-20
96,1,1,-25,-25
97,1,1,-30,-30
98,1,1,-35,-35
99,1,1,-40,-40
100,1,1,-45,-45
101,1,1,-50,-50
102,5,5,-5,-1
103,10,10,-10,-1
104,15,15,-15,-1
105,20,20,-20,-1
106,25,25,-25,-1
107,30,30,-30,-1
108,35,35,-35,-1
109,40,40,-40,-1
110,45,45,-45,-1
111,50,50,-50,-1
112,5,1,-5,-5
113,10,1,-10,-10
114,15,1,-15,-15
115,20,1,-20,-20
116,25,1,-25,-25
117,30,1,-30,-30
118,35,1,-35,-35
119,40,1,-40,-40
120,45,1,-45,-45
121,50,1,-50,-50
122,5,5,-1,-5
123,10,10,-1,-10
124,15,15,-1,-15
125,20,20,-1,-20
126,25,25,-1,-25
127,30,30,-1,-30
128,35,35,-1,-35
129,40,40,-1,-40
130,45,45,-1,-45
131,50,50,-1,-50
132,1,5,-5,-5
133,1,10,-10,-10
134,1,15,-15,-15
135,1,20,-20,-20
136,1,25,-25,-25
137,1,30,-30,-30
138,1,35,-35,-35
139,1,40,-40,-40
140,1,45,-45,-45
141,1,50,-50,-50
142,5,5,-5,-5
143,10,10,-10,-10
144,15,15,-15,-15
145,20,20,-20,-20
146,25,25,-25,-25
147,30,30,-30,-30
148,35,35,-35,-35
149,40,40,-40,-40
150,45,45,-45,-45
151,50,50,-50,-50
